,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2348,96.0,19.199741754707023,217942484.79038712,60-120
2349,108.0,16.96094400633805,23229742.18540026,60-120
2350,104.0,18.28110305893211,86972545.59402886,60-120
2351,123.0,16.389983328074376,13124395.760334644,120-180
2352,100.0,17.343000636323474,34038426.52559055,60-120
2353,113.0,17.738525138127578,50552610.20131233,60-120
2354,171.0,19.222554827729343,222971568.93454722,120-180
2355,85.0,13.5705715378919,782752.2689632545,60-120
2356,100.0,19.826399530553754,407845722.8354002,60-120
2357,109.0,15.659237353311648,6320047.95121391,60-120
2358,112.0,17.620619764743854,44930156.52280183,60-120
2359,107.0,16.755631249162292,18918129.4261811,60-120
2360,74.0,16.897066423384025,21792281.89120735,60-120
2361,170.0,19.70143817351486,359936495.8778871,120-180
2362,92.0,17.80788264233542,54183264.31948818,60-120
2363,106.0,18.806516497230668,147084306.98218504,60-120
2364,111.0,14.32756003584198,1668707.672211286,60-120
2365,102.0,17.451237741776872,37929424.53464567,60-120
2366,111.0,17.897527063954566,59264857.37650918,60-120
2367,87.0,11.465561670944766,95374.03694225721,60-120
2368,103.0,15.353596512978418,4655670.574442257,60-120
2369,130.0,20.344050051155087,684397913.3858267,120-180
2370,89.0,16.49023983555353,14508421.55301837,60-120
2371,184.0,17.70295987668768,48786289.41256561,180-240
2372,103.0,19.67231626830022,349605616.9125984,60-120
2373,116.0,13.241348402193276,563176.5253937007,60-120
2374,105.0,17.393120364294226,35787898.52844488,60-120
2375,122.0,20.28668319016076,646241085.9305774,120-180
2376,87.0,16.04113515480669,9259264.305413386,60-120
2377,104.0,20.039379174077567,504651764.47568893,60-120
2378,91.0,16.9133369058875,22149753.06059711,60-120
2379,94.0,16.26459260866551,11577714.085334644,60-120
2380,78.0,18.033255058287367,67880207.71020341,60-120
2381,146.0,16.542336281095963,15284293.356988188,120-180
2382,129.0,14.493164952411293,1969253.219422572,120-180
2383,85.0,13.211975586187753,546875.027395013,60-120
2384,135.0,16.808109094660878,19937423.363418635,120-180
2385,115.0,16.960926811675375,23229342.76125328,60-120
